mechanism,epsilon,test_mse_mean,test_mse_std,rel_fro_mean,rel_fro_std,rel_fro_normalized_mean,rel_fro_normalized_std,runtime_mean,n_seeds
Mech_Improved_Sheffet_RP,0.1,0.044559842817096684,0.012202530638798425,141.5616104419884,13.545480076378354,1.1580561067199207,0.13396264319059817,0.05066616535186767,20
Mech_Improved_Sheffet_RP,0.3,0.03795921179482775,0.008963696465102347,80.40297798921144,13.542681374320889,0.5408478882490318,0.10331662464384489,0.046441841125488284,20
Mech_Improved_Sheffet_RP,0.5,0.03532088709438917,0.007574406701088513,69.9278724646015,13.75819683706133,0.4120450326360457,0.10292326523149264,0.044772112369537355,20
Mech_Improved_Sheffet_RP,1.0,0.03202610193381477,0.005756862332316275,63.13470489007294,13.796471584513235,0.31317817604869924,0.10695342395706388,0.047873294353485106,20
Mech_Improved_Sheffet_RP,1.3,0.030943821011752453,0.005145783643110652,61.745780456233604,13.760846323165627,0.28978738379063895,0.10887362263620924,0.05134516954421997,20
Mech_Improved_Sheffet_RP,1.5,0.03040707973409998,0.004838357714697772,61.15312878291761,13.736073524520165,0.2792549397679544,0.109917954483991,0.050690960884094236,20
Mech_Improved_Sheffet_RP,2.0,0.029454589349356096,0.004278050684392497,60.22306479886621,13.681049677279457,0.26187030345508516,0.11194182835426056,0.04923437833786011,20
Mech_Modified_GaussMix,0.1,0.041693027990844046,0.008118290382651735,98.3916984677353,8.828245777250386,0.7562794396752983,0.06776797901323267,0.05353410243988037,20
Mech_Modified_GaussMix,0.3,0.03600118990736846,0.006605422505170106,63.17554812927585,7.719453504939913,0.3533781347032408,0.05596449574255097,0.05083557367324829,20
Mech_Modified_GaussMix,0.5,0.03358997875593374,0.005793378104506933,57.85898441281184,7.521365163843705,0.27017876071458413,0.058666909668315774,0.06069369316101074,20
Mech_Modified_GaussMix,1.0,0.030738543848528414,0.004531092913611072,54.609414946271784,7.338740989265407,0.2057777280394925,0.06415762860317277,0.05708836317062378,20
Mech_Modified_GaussMix,1.3,0.02985901547672511,0.0040861988424075145,53.97217008576151,7.290360103734244,0.19034581504758377,0.06613487478419561,0.05813111066818237,20
Mech_Modified_GaussMix,1.5,0.029433587318615284,0.003867613176669905,53.70462632624829,7.268126179475206,0.1833627993012183,0.06713077698036342,0.05738886594772339,20
Mech_Modified_GaussMix,2.0,0.028696859440338666,0.003494031881548376,53.29214586514826,7.231247269282698,0.17179307942540095,0.0689256575535436,0.06274099349975586,20
Mech_RP,0.1,0.036915567498273905,0.0049913525809549,0.47924773978239577,0.08181070556864405,0.47924773978239577,0.08181070556864405,0.03208966255187988,20
Mech_RP,0.3,0.031088991556320916,0.00316421157016991,0.30020271116168706,0.09776148392581303,0.30020271116168706,0.09776148392581303,0.043389177322387694,20
Mech_RP,0.5,0.029222645387075467,0.002477679052443967,0.26119865397675734,0.1056165180317103,0.26119865397675734,0.1056165180317103,0.05775196552276611,20
Mech_RP,1.0,0.027663995476003466,0.001871669289709239,0.22917676098044265,0.11379109051351101,0.22917676098044265,0.11379109051351101,0.05753390789031983,20
Mech_RP,1.3,0.027312594306726383,0.0017175066517033943,0.2210629294667854,0.11613545912901735,0.2210629294667854,0.11613545912901735,0.056611168384552005,20
Mech_RP,1.5,0.0271629507375861,0.0016459748845974978,0.21730539725943082,0.1172596499005556,0.21730539725943082,0.1172596499005556,0.054493832588195804,20
Mech_RP,2.0,0.02693508317479535,0.0015271763422757777,0.21092958458573224,0.11922224420720236,0.21092958458573224,0.11922224420720236,0.057329869270324706,20
Mech_Sheffet_RP,0.1,0.05653887525488828,0.017631711451816762,363.84484999579496,21.256405790100533,3.158808015627453,0.28522314856044734,0.05186786651611328,20
Mech_Sheffet_RP,0.3,0.04467146142630821,0.012255715278520133,143.03638142346475,13.569816946300703,1.171945831861537,0.13487324686230984,0.04871183633804321,20
Mech_Sheffet_RP,0.5,0.041069499973993076,0.010517687907009238,102.48048477860297,13.270493503793405,0.7778305949436907,0.11179510106820674,0.04669476747512817,20
Mech_Sheffet_RP,1.0,0.03698085441355291,0.008456974293527438,75.79025106265328,13.63891664417605,0.48632393878889557,0.10260879413694898,0.04573812484741211,20
Mech_Sheffet_RP,1.3,0.03552710004108904,0.007685535035535257,70.54193570580752,13.747062112920286,0.42017291207461643,0.10280024692178463,0.04568406343460083,20
Mech_Sheffet_RP,1.5,0.03475051514163088,0.00726505864700436,68.3719438936632,13.783286013091422,0.3909828390398306,0.10336362583140221,0.045597732067108154,20
Mech_Sheffet_RP,2.0,0.033239948421416574,0.006434039124122554,65.09511329574141,13.810771144114836,0.34386110728992036,0.10510305450460235,0.044914710521698,20
