mechanism,epsilon,test_mse_mean,test_mse_std,rel_fro_mean,rel_fro_std,runtime_mean,n_seeds
Mech_Improved_Sheffet_RP,0.063095734448,0.046413702661004835,0.0130792349265113,167.62966858262072,14.080678875331357,0.02071218490600586,20
Mech_Improved_Sheffet_RP,0.218776162395,0.038631791786200395,0.009306410514381077,84.17074672947498,13.471535198203005,0.02047480344772339,20
Mech_Improved_Sheffet_RP,0.758577575029,0.03251403274297092,0.006029954905461016,63.864065733518885,13.80572752827593,0.020481026172637938,20
Mech_Improved_Sheffet_RP,2.6302679919,0.02837244481805748,0.0035907597140542205,59.30623065828038,13.599908983077166,0.02045501470565796,20
Mech_Improved_Sheffet_RP,9.12010839356,0.02690978456576793,0.0024219956624762086,58.11060878285953,13.425538071769154,0.020437085628509523,20
Mech_Improved_Sheffet_RP,31.6227766017,0.026730077273565984,0.0025480661065341303,57.74086780984601,13.34098690856054,0.02044590711593628,20
Mech_RP,0.063095734448,0.03837848659943092,0.00545401964697739,0.5475633978967898,0.08103360569377697,0.019222593307495116,20
Mech_RP,0.218776162395,0.03161784653682063,0.00334922180745131,0.3121929264235733,0.09575538973087143,0.019903075695037842,20
Mech_RP,0.758577575029,0.027836665924526126,0.0019427839691159789,0.2329353758717767,0.11274348851394378,0.019910430908203124,20
Mech_RP,2.6302679919,0.026734781317334883,0.0014133419678255404,0.20381211616066527,0.1214906922810035,0.019738280773162843,20
Mech_RP,9.12010839356,0.026652298388284236,0.0014236463056811002,0.1927189294456439,0.125140177201416,0.019650816917419434,20
Mech_RP,31.6227766017,0.02682797133564795,0.0016737591638835356,0.1884803102716299,0.1265157435893045,0.01977792978286743,20
Mech_RP_PTR,0.063095734448,2.8755857683274657,11.473272044356799,884.6999528038139,86.15332464839095,0.01934279203414917,20
Mech_RP_PTR,0.218776162395,2.8755857683274657,11.473272044356799,884.6999528038139,86.15332464839095,0.01926068067550659,20
Mech_RP_PTR,0.758577575029,2.8755857683274657,11.473272044356799,884.6999528038139,86.15332464839095,0.019544529914855956,20
Mech_RP_PTR,2.6302679919,2.8755857683274657,11.473272044356799,884.6999528038139,86.15332464839095,0.01947932243347168,20
Mech_RP_PTR,9.12010839356,2.8755857683274657,11.473272044356799,884.6999528038139,86.15332464839095,0.019335973262786865,20
Mech_RP_PTR,31.6227766017,1.252780526861165,5.219318081745897,0.18774993923475708,0.12628456050054343,0.01925952434539795,20
Mech_Sheffet_RP,0.063095734448,0.06184906937280443,0.020067172341869822,511.38397715172414,27.72770520061964,0.02054065465927124,20
Mech_Sheffet_RP,0.218776162395,0.046492398598927745,0.013116111299147208,168.8073694704051,14.109467710685339,0.020688390731811522,20
Mech_Sheffet_RP,0.758577575029,0.03798465498085521,0.008976742041117614,80.53625243353225,13.540025014850324,0.020621860027313234,20
Mech_Sheffet_RP,2.6302679919,0.03144349322815633,0.005429011501991181,62.351583508500674,13.779759600516963,0.020703887939453124,20
Mech_Sheffet_RP,9.12010839356,0.02764357901795451,0.003058134477483427,58.735159267269296,13.529603941654372,0.02054412364959717,20
Mech_Sheffet_RP,31.6227766017,0.026732598220422166,0.0023952650012651813,57.83904805643,13.366041289820261,0.020738065242767334,20
