application,protocol,stage,epsilon,delta,seeds,tau_star,sigma_std,metric,nonprivate,private_mean,private_std_ddof0,private_min,private_max,raw_jsonl
BLR_NDIS,current_config,before,1.0,1e-05,"2734335219;2905568749;2703185305;3085492084;1659915345",9.610971838235855,3.1001567441398596,accuracy,0.9912280701754386,0.7649122807017544,0.12285713263166032,0.5526315789473685,0.9035087719298246,data/outputs/ndis_covariance_correction/bell_py311/before/blr/blr_ndis_results_20260827-191432.jsonl
BLR_NDIS,current_config,after,1.0,1e-05,"2734335219;2905568749;2703185305;3085492084;1659915345",16.998405404388905,4.122912247961252,accuracy,0.9912280701754386,0.6982456140350877,0.16630616598110973,0.40350877192982454,0.8771929824561403,data/outputs/ndis_covariance_correction/bell_py311/verified_final_after/blr/blr_ndis_results_20260827-193128.jsonl
GPR_NDIS,current_config,before,1.0,1e-05,"2734335219;2905568749;2703185305;3085492084;1659915345",0.6745983362197876,0.8213393550900794,absolute_error,0.4718045189067342,0.6674524663068135,0.6455403363884499,0.16154102440082574,1.7587952793970467,data/outputs/ndis_covariance_correction/bell_py311/before/gpr/gpr_ndis_results_20260827-191428.jsonl
GPR_NDIS,current_config,after,1.0,1e-05,"2734335219;2905568749;2703185305;3085492084;1659915345",15.227593049407005,3.9022548673051847,absolute_error,0.4718045189067342,2.3114286896632064,1.1523317203259504,1.5282865492868911,4.536092571620453,data/outputs/ndis_covariance_correction/bell_py311/verified_final_after/gpr/gpr_ndis_results_20260827-193129.jsonl
GPR_NDIS,published_legacy_seeds,before,1.0,1e-05,"42;43;44;45;46",0.6745983362197876,0.8213393550900794,absolute_error,0.4718045189067342,0.7562774986670237,0.5289865769001433,0.08373597823106621,1.369682830860123,data/outputs/ndis_covariance_correction/bell_py311/legacy_seeds/before/gpr/gpr_ndis_results_20260827-193037.jsonl
GPR_NDIS,published_legacy_seeds,after,1.0,1e-05,"42;43;44;45;46",15.227593049407005,3.9022548673051847,absolute_error,0.4718045189067342,2.283079460110434,1.7258868658294537,0.5104382122468489,5.343571367730973,data/outputs/ndis_covariance_correction/bell_py311/legacy_seeds/verified_final_after/gpr/gpr_ndis_results_20260827-193129.jsonl
