mechanism,epsilon,test_mse_mean,test_mse_std,rel_fro_mean,rel_fro_std,runtime_mean,n_seeds
Mech_RP,0.1,0.34013560828617134,0.08432183771206252,0.9356730449423601,0.09344518990825325,0.004863381385803223,10
Mech_RP,0.2,0.24347584053597382,0.07968518831338638,0.746583512014328,0.08281313976609415,0.004871153831481933,10
Mech_RP,0.5,0.16754292213001182,0.05496313184250368,0.6208894990586119,0.07789171096782385,0.004896903038024902,10
Mech_RP,1.0,0.13334875003290228,0.03733803430197274,0.5741895362001033,0.0758117780392903,0.004860019683837891,10
Mech_RP_Pois,0.1,0.35070013313266174,0.17768987406671655,0.763447393040356,0.05500676001233278,0.0017584562301635742,10
Mech_RP_Pois,0.2,0.27516196272890714,0.1216864133212516,0.7425986060800832,0.049800614976014394,0.001702094078063965,10
Mech_RP_Pois,0.5,0.2177987905671393,0.0800856260907603,0.7302206248090566,0.045028037198385884,0.0017534255981445312,10
Mech_RP_Pois,1.0,0.18770167793619605,0.06521406687302259,0.7255651537719945,0.042693086133833644,0.0017030954360961914,10
