mechanism,epsilon,test_mse_mean,test_mse_std,rel_fro_mean,rel_fro_std,rel_fro_normalized_mean,rel_fro_normalized_std,runtime_mean,n_seeds
Mech_Improved_Sheffet_RP,0.1,0.16050637916288274,0.03942819662880436,71105.38496761968,620.6124137726201,164.22006547597783,1.897100007367649,0.009095081329345703,250
Mech_Improved_Sheffet_RP,0.3,0.14885738713736713,0.03473850575720651,25552.174811149896,223.40410637943185,59.010505121696106,0.6829930388144319,0.008001986503601075,250
Mech_Improved_Sheffet_RP,0.5,0.13999218154231174,0.03115257693881301,15872.925394837912,138.94687048670355,36.6541426241997,0.4247878750921329,0.007973536491394043,250
Mech_Improved_Sheffet_RP,1.0,0.12476662236274685,0.02485691997344729,8338.858914247747,73.19976476520557,19.24993117737857,0.22364748224915618,0.008285531997680664,250
Mech_Improved_Sheffet_RP,1.3,0.11852956332145698,0.0221864685048836,6545.75057140722,57.56775969504036,15.10638646062367,0.17573928301636596,0.008684083938598633,250
Mech_Improved_Sheffet_RP,1.5,0.11514810897965229,0.020706121959554548,5739.205346988913,50.54608661037595,13.242140009221053,0.15418364322817427,0.008472359657287598,250
Mech_Improved_Sheffet_RP,2.0,0.10858687543253598,0.017752362333562602,4412.923125973786,39.032407668721085,10.175376559529177,0.11872883529782541,0.007419021606445313,250
Mech_Modified_GaussMix,0.1,0.15150584240272283,0.03499727471757446,47302.831908479144,421.3146741315477,109.26170837009406,1.293486799332876,0.007003985404968262,250
Mech_Modified_GaussMix,0.3,0.1363186507043887,0.029054529083552428,16396.46828665166,146.39808172232932,37.86861399714103,0.45011679571439517,0.007457795143127441,250
Mech_Modified_GaussMix,0.5,0.12589795615861146,0.024849924543212155,10028.704998407235,89.737003834587,23.157064857635174,0.27604115624346465,0.007538995742797852,250
Mech_Modified_GaussMix,1.0,0.1102825455469393,0.018168561782143766,5164.355752598124,46.531683615568944,11.914344482670167,0.14287189572718492,0.00746061897277832,250
Mech_Modified_GaussMix,1.3,0.10469732266284795,0.015606087904178027,4024.8307370695766,36.480988758676645,9.27830193457954,0.11164168489063805,0.007444938659667969,250
Mech_Modified_GaussMix,1.5,0.10185930718825784,0.0142576528214968,3515.541125739957,32.02254050127611,8.099358662899544,0.09768124532100676,0.007271164894104004,250
Mech_Modified_GaussMix,2.0,0.09671743229050547,0.011730043908680347,2683.6279041811345,24.84628542474672,6.171497292104178,0.07488133030593629,0.007229679107666016,250
Mech_RP,0.1,0.14601840833539334,0.03520815396385133,52.05106922433528,0.6080539953670734,52.05106922433528,0.6080539953670734,0.004566217422485351,250
Mech_RP,0.3,0.12443977815467205,0.026523924931764295,18.846838023702585,0.22189829220100832,18.846838023702585,0.22189829220100832,0.004066456794738769,250
Mech_RP,0.5,0.11276341666594854,0.021190876642232657,11.777982974969637,0.13965246777811507,11.777982974969637,0.13965246777811507,0.004151060104370117,250
Mech_RP,1.0,0.09870819604789749,0.014017446230187088,6.267562254241748,0.0756305819235382,6.267562254241748,0.0756305819235382,0.005123651504516601,250
Mech_RP,1.3,0.09443423997910762,0.011701148820453993,4.953924483190258,0.06043408493438404,4.953924483190258,0.06043408493438404,0.00438302993774414,250
Mech_RP,1.5,0.09236999854433035,0.01058803898825202,4.3625307125693515,0.05361760546497586,4.3625307125693515,0.05361760546497586,0.004085087776184082,250
Mech_RP,2.0,0.0887461859309588,0.008720483976760922,3.3889576539292285,0.04246102200198227,3.3889576539292285,0.04246102200198227,0.003970097541809082,250
