mechanism,epsilon,test_mse_mean,test_mse_std,rel_fro_mean,rel_fro_std,runtime_mean,n_seeds
Mech_Improved_Sheffet_RP,0.063095734448,0.16146261760418087,0.03981376499210886,81652.56661036873,712.5450632679502,0.0040402326583862305,250
Mech_Improved_Sheffet_RP,0.218776162395,0.14961506161940205,0.035043761949771005,26799.62475188899,234.28672290070205,0.004254542350769043,250
Mech_Improved_Sheffet_RP,0.758577575029,0.12588929132640816,0.025330571194594007,8714.647371178904,76.47778640015851,0.004269919395446777,250
Mech_Improved_Sheffet_RP,2.6302679919,0.09909839329114932,0.013249592541963387,2883.432293038515,25.917691775681682,0.004091023445129394,250
Mech_Improved_Sheffet_RP,9.12010839356,0.08411573946015843,0.006240014052467294,1041.849871997514,12.707917892539168,0.004154885292053222,250
Mech_Improved_Sheffet_RP,31.6227766017,0.07549492817874427,0.0050838311273782195,484.7130731884611,15.112502466121263,0.004932343482971191,250
Mech_Modified_GaussMix,0.063095734448,0.15373034639242758,0.03585957582368051,60867.3633188498,541.9209004189785,0.004951189994812011,250
Mech_Modified_GaussMix,0.218776162395,0.1387191314906979,0.030004843047313007,18649.218216392026,166.44403181416138,0.005044541358947754,250
Mech_Modified_GaussMix,0.758577575029,0.11269167698709616,0.019240714586430997,5726.029455884809,51.50555301235595,0.0047694406509399415,250
Mech_Modified_GaussMix,2.6302679919,0.09056549824633685,0.008622077312298597,1806.201286497853,17.698388584769084,0.004930802345275879,250
Mech_Modified_GaussMix,9.12010839356,0.07964145090628977,0.005049262670058659,648.6830335529693,13.546871830183614,0.005091940879821778,250
Mech_Modified_GaussMix,31.6227766017,0.06898711214895273,0.004949665823216924,345.0372321375495,19.054573381510746,0.004661050796508789,250
Mech_RP,0.063095734448,0.1481178569327502,0.03598682874904715,59.346297602673644,0.6928513047045828,0.003796133041381836,250
Mech_RP,0.218776162395,0.12544563429167932,0.026959866255240064,19.633719123840436,0.23105398072999564,0.003868162155151367,250
Mech_RP,0.758577575029,0.0994523182548657,0.014417233713276894,6.509745554087477,0.0784375954839294,0.003913418769836426,250
Mech_RP,2.6302679919,0.08396569434907589,0.006759797149796678,2.2574366550676994,0.02972596399314406,0.0037370519638061524,250
Mech_RP,9.12010839356,0.07419425592301136,0.005803964430481068,0.8895800840630006,0.01614517140112461,0.003845245361328125,250
Mech_RP,31.6227766017,0.06372601287562885,0.005860366943561763,0.44004657575802064,0.015650432863598494,0.0037886390686035156,250
